Property ID,Built Year,Property Name,Star Rating,Pincode,Property Type,Free WiFi,Entire Property,Latitude,Longitude,Distance from Center
1000000354,2007,HHI Varanasi,4,221002,Hotel,True,False,25.32304,82.99442,1.2317114595273653
1000002357,2013,Somit Paying Guest House,0,221001,Homestay,False,False,25.30464,83.00702,1.640492028750923
1000003219,2012,Hotel Varuna,3,221002,Hotel,True,False,25.31858,82.99159,0.7383125582458556
1000003309,2010,"Ramada Plaza by Wyndham JHV, Varanasi",5,221002,Hotel,True,False,25.33692,82.97637,3.2266783418505534
1000003424,2011,Hotel Surya,3,221002,Hotel,True,False,25.33766,82.98009,3.1257422476976098
1000076462,2018,Hotel Saraswati,0,232101,Hotel,False,False,25.29143,83.10311,11.313241104627718
1000198881,2018,Omkar Guest House,0,221005,Hotel,False,False,25.24146,82.9883,7.862654751457821
1000308251,2020,Spring Sky Mughalsarai By ShriGo Hotels,3,232101,Hotel,False,False,25.28547,83.11107,12.241106500106996
1000408730,2022,De Costa Palace,3,221002,Hotel,False,False,25.34646,82.96978,4.477103830948437
1000448735,2023,HOTEL PSK INN,3,232101,Hotel,False,False,25.28435,83.10725,11.900474518739081
1000424678,2022,Hotel Seema Villa Inn,0,232101,Hotel,False,False,25.25671,83.12553,14.685545759196094
1000389289,2022,FabHotel Kriti Green,3,221108,Hotel,False,False,25.25296,82.94937,7.894900505567298
1000309308,2020,Shri Balaji Guest House,0,221002,Homestay,False,False,25.32454,82.98923,1.4373947111793717
1000202084,2018,The Sunaina,0,221005,Hotel,True,False,25.29048,83.00222,2.5744994078837724
1000243080,2019,Om Guest House,0,221105,Guest House,False,False,25.39957,82.89174,14.073042723021238
1000255158,2019,Relax Paying Guest House Hostel,0,221001,Homestay,False,False,25.30289,83.00743,1.7799780271105445
1000306712,2020,Hotel Station View Mughalsarai,3,232101,Hotel,False,False,25.28264,83.12117,13.302683128294296
1000003430,2007,Palace On Ganges,3,221001,Hotel,True,False,25.28839,83.00597,2.9402009841239134
1000003431,2010,Hotel Zeeras,3,221002,Hotel,True,False,25.33835,82.98103,3.1589037865349554
1000003434,2007,Hotel Pradeep,3,221002,Hotel,True,False,25.32546,82.99978,1.6436212343366858
1000003462,2010,Hotel New Temple's Town,3,221002,Hotel,True,False,25.33298,82.98492,2.4621007370710903
1000003479,2012,Hotel Sarin Inn Heritage,3,221010,Hotel,True,False,25.30788,82.9848,0.9374537019047943
1000003555,2008,The Amayaa,4,221002,Hotel,True,False,25.3375,82.97938,3.139775871522219
1000005919,2008,Hotel Vaibhav,3,221002,Hotel,True,False,25.33273,82.98525,2.4251094515951093
1000005946,2007,Meraden Grand,4,221002,Hotel,True,False,25.33282,82.98508,2.4400567170745804
1000005948,2007,M M Continental,0,221002,Hotel,True,False,25.33717,82.97871,3.136795247148747
1000006239,2012,Hotel Buddha,3,221001,Hotel,True,False,25.32356,83.00143,1.5403353379958105
1000007240,2013,Amritara Suryauday Haveli,4,221002,Hotel,True,False,25.29803,83.00704,2.109051333719319
1000008408,2013,Rivatas By Ideal,5,221002,Hotel,True,False,25.33785,82.9796,3.1654945919472968
1000009197,2014,Ganga Monastery,3,221005,Hotel,True,False,25.28511,83.00806,3.360465441485985
